drug,LD,date,p53,chk2,atr,chk1,atx,dnapk,bok,bim
vincristine,80,10/27/2014,2.814582707,0.477936959,0.161140785,-0.365113065,-1.310921651,0,-3.14208547,0.702784839
vincristine,85,6/6/2015,0.53877777,0.196296572,0.568065012,-0.841378033,-1.918907739,-0.758828936,-3.466104213,0.701897445
vincristine,87,10/13/2014,1.913756266,0.908246627,0.479797658,-1.087707547,-1.743999186,-0.624475905,-2.125679667,0.645783708
vincristine,78,7/27/2015,1.472133476,0.635363529,1.671347175,0.311695281,-1.169710356,0.338636436,-1.136932847,0.068840944
vincristine,78,10/4/2015,2.269972178,0.898574933,0.361163966,-0.739550934,-1.652369758,-0.272050607,-3.049392166,0.940814839
vincristine,82,6/16/2015,1.440643472,1.493351375,1.207249054,0.345333431,-1.171761972,0.687642785,-1.684065598,0.56368672
vincristine,85,8/15/2012,2.004952977,0.308307735,0.400168942,-1.213413594,-2.449312369,-0.576156703,-3.203537454,0.434727136
vincristine,81,7/5/2015,2.00247673,1.426381341,0.547120674,-0.12403174,-1.270211457,0.603808869,-2.594316035,0.401184661
vincristine,77,4/25/2012,1.622186726,0.793386391,0.162392312,-0.859860728,-1.561243144,-0.302064213,-3.062854686,0.632119858
vincristine,89,6/18/2015,1.947251861,1.14307199,0.825023359,-0.615736096,-1.761913049,0.026608925,-2.607089006,0.551363974
vincristine,73,6/3/2015,0.063790012,-0.234210937,0.357620587,-0.658822616,-1.642326524,-0.400386276,-3.100662339,0.323289989
vincristine,76,9/20/2014,1.554386808,0.61886271,0.462783167,-0.500957735,-2.135818038,-0.388443328,-2.004042005,0.409329414
vincristine,76,7/18/2013,1.937101243,0.916533177,0.526987343,-0.865888506,-1.492040569,-0.427421224,-2.893084796,0.728725222
vincristine,88,3/23/2012,0.627568672,0.792761474,0.619333619,-0.866843862,-1.589038941,-0.367346851,-2.225714501,0.512078259
vincristine,89,3/25/2012,1.311246575,0.630954618,0.447904813,-0.288217057,-1.467647065,-0.604733421,-1.767367159,0.486316282
vincristine,68,5/13/2015,1.137300485,0.574590339,0.042367966,-0.333528557,-1.644975307,-0.251930202,-1.806408334,0.576137334
cisplatin,92,12/8/2011,4.273242141,4.387183464,0.457476423,-1.4535375,-1.570418021,0.845668452,-0.253238571,1.312407334
cisplatin,91,5/24/2012,4.874185172,5.061350848,-0.637429921,-2.598518968,-2.072227677,0.342715668,0.326491549,1.153794149
cisplatin,91,2/26/2012,4.840395349,5.55359833,0.161086436,-2.337200533,-1.167924869,0.742503778,-0.981817044,1.822185813
cisplatin,91,3/4/2012,4.565237587,4.826589101,0.033488692,-1.526943708,-2.12747089,0.910005829,-0.606849619,2.65258417
cisplatin,90,5/12/2012,4.374238301,4.317272511,-0.358512576,-2.151208765,-1.478047297,0.65063443,-0.65838357,1.337539562
cisplatin,89,3/17/2012,4.825968674,4.631611101,0.090564078,-1.581447192,-1.097549317,1.028486092,0.20559355,1.537328235
cisplatin,89,11/17/2011,4.454931737,4.790962747,-0.735264376,-1.77565061,-1.616999159,0.963349137,-1.219402379,0.723809437
cisplatin,86,8/15/2012,4.033231753,3.786771381,0.400168942,-1.316793842,-0.867961687,0.406096247,-0.118417139,0.583422994
cisplatin,89,5/9/2012,4.699922975,4.758438207,-0.063563028,-2.023131681,-1.721708564,0.663881695,-0.24292807,1.15944724
cisplatin,89,3/25/2012,3.734853662,4.360742408,-0.071748851,-2.010888316,-1.518715222,0.504918495,-0.627006615,1.471194802
cisplatin,85,3/2/2012,4.260875985,4.456055555,0.518561275,-1.813912503,-0.722572294,0.93764875,-1.085881805,1.55823608
cisplatin,90,5/18/2012,4.527619459,4.638725414,-0.152020583,-1.635173659,-1.399148096,0.560595085,-0.092090192,0.785608249
